Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100pF","SMD_2012_C",196.625000,-111.750000,0.000000,top
"C2","100nF","SMD_1608_C",185.800000,-115.550000,0.000000,top
"C3","100nF","SMD_1608_C",194.875000,-111.550000,0.000000,top
"C4","10pF","SMD_2012_C",184.175000,-115.750000,0.000000,top
"C5","100nF","SMD_1608_C",195.550000,-116.000000,0.000000,top
"C6","1nF","SMD_1608_C",193.400000,-110.500000,0.000000,top
"C7","10pF","SMD_2012_C",197.275000,-116.200000,0.000000,top
"C8","100pF","SMD_2012_C",196.625000,-108.500000,180.000000,top
"C9","100nF","SMD_1608_C",193.950000,-116.000000,0.000000,top
"C10","1nF","SMD_1608_C",189.500000,-109.750000,90.000000,top
"C11","10pF","SMD_2012_C",192.250000,-115.800000,0.000000,top
"C12","100pF","SMD_2012_C",193.225000,-107.575000,180.000000,top
"C13","100nF","SMD_1608_C",194.900000,-108.700000,180.000000,top
"C14","100nF","SMD_1608_C",191.025000,-108.350000,270.000000,top
"C15","100pF","SMD_2012_C",182.250000,-104.250000,180.000000,top
"C16","1.2nF","SMD_1608_C",187.350000,-115.550000,0.000000,top
"C17","100pF","SMD_2012_C",184.150000,-104.250000,180.000000,top
"C18","39nF","SMD_2012_C",193.300000,-103.950000,180.000000,top
"C19","100nF","SMD_1608_C",185.850000,-104.050000,180.000000,top
"C20","2.7nF","SMD_2012_C",195.250000,-103.950000,180.000000,top
"C21","100nF","SMD_1608_C",187.350000,-104.050000,180.000000,top
"C22","1nF","SMD_1608_C",176.000000,-104.500000,180.000000,top
"C23","100nF","SMD_1608_C",177.250000,-111.000000,90.000000,top
"C24","100pF","SMD_2012_C",177.050000,-109.000000,90.000000,top
"C25","1nF","SMD_1608_C",176.000000,-115.500000,0.000000,top
"C26","100pF","SMD_2012_C",182.325000,-116.700000,0.000000,top
"C27","100nF","SMD_1608_C",182.050000,-113.800000,180.000000,top
"C28","100pF","SMD_2012_C",137.150000,-108.050000,90.000000,top
"C29","1nF","SMD_1608_C",116.050000,-107.300000,0.000000,top
"C30","100pF","SMD_2012_C",127.450000,-109.850000,90.000000,top
"C31","100pF","SMD_2012_C",121.250000,-109.850000,90.000000,top
"C32","1nF","SMD_1608_C",129.200000,-107.250000,0.000000,top
"C33","100pF","SMD_2012_C",110.400000,-110.950000,0.000000,top
"J1","BM06B","BM06B",208.000000,-110.000000,270.000000,top
"J2","Conn_Coaxial","RF_edge",100.000000,-110.000000,0.000000,top
"J3","RF_Shield_One_Piece","BMI-S-209-F",187.500000,-110.000000,0.000000,top
"L1","L_10uH","SMD_2012_L",199.325000,-108.525000,270.000000,top
"L2","3.9nH","SMD_1608_L",178.000000,-104.500000,0.000000,top
"L3","3.9nH","SMD_1608_L",178.000000,-115.500000,0.000000,top
"L4","1.9nH","SMD_1005_L",175.250000,-107.000000,270.000000,top
"L5","1.9nH","SMD_1005_L",175.250000,-113.000000,270.000000,top
"L6","100nH","SMD_2012_L2",124.550000,-108.950000,180.000000,top
"L7","100nH","SMD_2012_L2",112.800000,-108.950000,180.000000,top
"R1","10K","1608_R",189.625000,-112.025000,90.000000,top
"R2","0R","3216_R",199.475000,-116.050000,0.000000,top
"R3","51R","1608_R",191.825000,-110.500000,0.000000,top
"R4","10K","1608_R",189.150000,-105.550000,180.000000,top
"R5","5.1K","1608_R",190.450000,-115.550000,0.000000,top
"R6","680R","1608_R",188.900000,-115.550000,180.000000,top
"R7","715R","1608_R",190.700000,-105.550000,0.000000,top
"R8","715R","1608_R",189.950000,-103.000000,270.000000,top
"R9","0R","3216_R",180.200000,-105.200000,180.000000,top
"R10","0R","3216_R",180.200000,-114.800000,0.000000,top
"R11","50R","1005_R",170.600000,-113.000000,270.000000,top
"R12","10K","1608_R",198.900000,-103.000000,180.000000,top
"R13","10K","1608_R",200.500000,-103.000000,180.000000,top
"R14","10K","1608_R",197.300000,-103.000000,180.000000,top
"U1","ADF4351","ADF4351",185.000000,-110.000000,270.000000,top
"U2","SMA3117","SMA3117",131.850000,-108.950000,0.000000,top
"U3","SMA3117","SMA3117",116.950000,-110.750000,0.000000,top
"X1","ASE-25","ASE-25",199.250000,-111.850000,270.000000,top
